Names,Subscribers,Views,Videos,id,Date
b'ARVEA Nature',10600,1209912,147,UCMVqZzwV8HE5zWvsQ2hCXeA,2018-08-02T08:42:41Z
b'Nature Hacker',1480,131203,4,UCunXbc8O0-EfLBc8bI0n44A,2019-07-19T02:18:32Z
b'Nature Foundation at Wintergreen',65,21149,92,UCDcYM2jhUBl1mbKBJlRw97w,2018-06-20T17:32:42Z
b'Immerse In Nature',87000,21528346,33,UCFSAVaGPkRVzWycr96-XZVQ,2017-08-19T18:47:56Z
b'Nature of Dhamma',1720,33866,71,UCFxG4FDBlWYQNZrLJ1kKOSQ,2021-05-04T09:36:55.384504Z
b'France Nature Environnement',809,168587,56,UCazMD7FP_6jVaN1S-GLiqqg,2013-11-05T13:16:46Z
b'Sikana Nature',9240,2814203,53,UCY8mxMAk-ysLmh_7XKlsXUg,2013-05-28T16:55:55Z
b'Nature Relaxation Films',818000,229765595,552,UC4lp9Emg1ci8eo2eDkB-Tag,2006-08-26T19:15:42Z
b'Astro Nature 49',386,32726,99,UCniz6GIlKkSa9MkqrDBNuAw,2018-12-08T15:48:54Z
b'Relaxation nature with music',374,175680,83,UCJmuO80JTPJHAkOtc_rxlAg,2021-07-01T14:41:28.973244Z
b'L\xc3\xa9a Nature Groupe',1100,70607,59,UCS7Q_t9XqT1T8GUKO4mC2-A,2010-11-15T08:48:11Z
b'Nature Philosopher',451,12766,23,UC8NjZ7NX5MsJpw_1qC1OUuw,2020-02-02T12:32:20.175626Z
b'Scaped Nature',459,4416,4,UCdajMaqfFjgm_ZMCVPr2AxQ,2021-02-02T11:27:54.74548Z
"b""Nature's Always Right""",227000,14795301,269,UCejgtTHroWI5sF_2-fuiF4Q,2016-07-18T01:00:18Z
b'Beats of Nature',7700,666030,8,UCmlEz_EOGXCvwHd0AWnv78g,2020-10-17T13:49:30.462496Z
b'Nature Check',17300,5723679,290,UCj9mqydnOaoUcgFl9n9PrPg,2015-08-09T12:44:54Z
"b'Feel the Nature, Shimane - \xe5\xb3\xb6\xe6\xa0\xb9\xe7\x9c\x8c'",2500,4401526,5,UCOWD2jL_oyFUzbLo3d5Wrng,2020-10-08T06:07:43.515653Z
b'Adventure in Greek Nature',390,287994,18,UCQ76qATxHi2aayqFWm2hZ_w,2017-07-01T07:34:35Z
b'Cambodia Real Nature',113000,11182872,23,UCans1_yJ_-aLKXYw8V851Sw,2017-10-04T09:26:06Z
b'Nature Zilla',22500,5888993,368,UCDmvEp5Rtjw817rMw_Z-S1A,2020-06-29T17:02:37.649781Z
b'\xeb\xb0\xb1\xec\x9e\xa5\xed\x98\x84 TV(life in nature)',15,318,9,UC9HWaUpltFM3cThNpwoS5Yg,2021-10-12T07:39:41.652024Z
b'Nature Architects Inc.',734,33165,20,UCI-oeuDZmtoRLtpxhJ5PrLA,2019-10-08T08:31:09Z
b'Nature En Occitanie',270,42000,67,UC3jLcFXduehskutClU_oi8g,2012-09-14T08:42:19Z
"b""Nature's Image Photography Workshops And Tours""",8560,524413,110,UCVtZiFKWtHzNuC7HqVB1Hww,2018-07-02T09:57:14Z
b'Nature Dei',7160,300967,14,UCv8aqg546B8io7Y1FH4XfKA,2018-11-13T18:42:37Z
b'Nature Rx',8470,4268830,14,UC4Us7SZ7eY0GCHXKxNwDnww,2015-01-30T00:09:49Z
b'Nature Lover @Tamali',14400,1685436,555,UCSDdzPVjfNCfKM61Mz2LHCw,2018-01-03T15:17:52Z
b'Nature InFocus',2750,210307,91,UCEDkMba8bFYZSlf0jsE_lJg,2014-06-12T07:39:35Z
b'nature and you',0,0,3,UCj8oseqRRQ5zp-h73ZloX0A,2021-11-03T03:00:27.721914Z
b'Nature Box',2720,39789741,175,UCvXBGTbww8qbpyvq9K9OLRA,2017-10-13T08:03:28Z
b'Little Kiwis Nature Play',99,10371,18,UCWd8VNL31tmt4oetWfT96Tg,2017-10-26T07:17:05Z
b'Bunny Nature',279,39856,32,UCbgyV0kl8ph05osxJ6bS5xQ,2014-06-27T15:22:30Z
b'Nature 2U Videos',317,39996,43,UCLqeWJZHeTLhg0O-nTBZ6kQ,2019-11-05T02:24:20.585186Z
b'Dead Nature',294,27340,50,UCeB8OflAv5ME4kOwKJG4t4A,2019-03-17T17:47:14Z
b'Nature world of asper',7320,958288,261,UCHUiqB9UUBkvzXPpUoT_Tug,2012-10-02T13:39:57Z
b'Nature Sounds ASMR',3230,422430,41,UClFMzoGqgEDpna_Ld7CsuYA,2020-09-11T20:10:30.903048Z
b'Next To Nature Bunny',18,2668,28,UCbfyVOPoQkNeTpf1q2joGKw,2021-08-11T02:00:30.045342Z
b'Knowledge By Nature',1300,80133,129,UCDTRl05plyx_mYvEpxbmwQA,2020-06-11T00:40:00.191846Z
b'Nature Portfolio',9310,701983,137,UCvCLdSgYdSTpWcOgEJgi-ng,2014-03-20T14:35:34Z
b'Relax Night and Day - Beautiful Nature & Sounds',370000,110964139,575,UCmEb7rZRwejgRZ98HwAimLA,2012-01-21T10:49:41Z
b'Scandinavian Nature Diaries',828,34173,110,UCu28yk9Mi0sHtKeGr5_i6DQ,2012-05-09T07:50:59Z
b'Office of Kentucky Nature Preserves',233,21113,72,UC2XAMYliiFXuHdwLwHwSqcg,2014-08-18T14:06:36Z
b'Electronic Nature',1330,192202,21,UCIW4QogITcyoxGhKEkTqFRQ,2020-03-19T12:45:58.8097Z
b'Between The Nature',1200,111487,36,UC5NjjIQEGPSdP_qRyfK6sIQ,2020-06-24T17:37:18.999481Z
